model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_wins_percent,black_llm_draws_percent,white_rand_wins_percent,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,wrong_actions_per_100moves,wrong_moves_per_100moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,std_dev_wrong_actions_per_1000moves,std_dev_wrong_moves_per_1000moves,std_dev_mistakes_per_1000moves,average_moves,std_dev_moves,completion_tokens_black,completion_tokens_black_per_move,std_dev_completion_tokens_black_per_move,moe_completion_tokens_black_per_move,min_moves,max_moves,prompt_tokens_black,total_tokens_black,moe_material_diff,moe_avg_moves,moe_wrong_actions_per_1000moves,moe_wrong_moves_per_1000moves,moe_mistakes_per_1000moves
llama-3-70b-instruct-awq,30,0,15,15,0.0,50.0,50.0,4449,2,41,21.566666666666666,10.129109071123317,26.966666666666665,7.716901885643207,-5.4,-2.185616310074592,0.0606060606060606,2.227814337138526,0.606060606060606,22.27814337138526,22.884203977445868,3.319530651546461,41.24344959064868,41.17651880522224,148.3,62.428524647433186,185118,41.60890087660148,7.531515042815582,2.695118045011193,14,200,2349787,2534905,3.0863249581219465,22.339760638362048,1.1878787878787878,14.758778890881988,14.73482801691518
llama-3.1-8b-instant,60,0,60,0,0.0,0.0,100.0,1754,27,146,36.61666666666667,4.32999654231931,37.53333333333333,2.977125599661222,-0.9166666666666666,-2.980310189815331,3.0761016391498845,14.210738044440948,30.76101639149885,142.10738044440947,172.86839683590833,57.328862281400355,111.87094405565827,134.39497398999626,29.233333333333334,21.58810616250568,292050,166.50513112884835,273.77771529442293,69.2753200840037,6,98,1635437,1927487,0.9808762560869637,5.462544542044757,14.506203619694965,28.307254479134983,34.00662041037932
llama-3.1-tulu-3-8b@q4_k_m,42,0,42,0,0.0,0.0,100.0,154,15,6,38.95238095238095,0.21554026870452117,39,0.0,-0.047619047619047616,-0.8928571428571429,15.476190476190476,2.5,154.76190476190476,25.0,179.76190476190476,448.4131266721495,123.58960410933615,456.5324666959656,3.6666666666666665,2.0679513447437885,294365,1911.4610389610389,1799.8210498317999,544.3280979498184,2,10,1221669,1516034,0.06518682760516063,0.6254199673030555,135.6156293204775,37.3777682717362,138.0711983961835
llama-3.1-tulu-3-8b@q8_0,42,0,42,0,0.0,0.0,100.0,147,7,26,39,0.0,39,0.0,0,0.0,5.4563492063492065,18.452380952380953,54.56349206349206,184.52380952380952,239.0873015873016,236.50717731588065,398.39435286521024,442.210847816919,3.5,2.1327870235456885,293461,1996.3333333333333,1963.3336554612401,593.7799618567382,1,12,1192485,1485946,0.0,0.6450285176780063,71.52794550984096,120.48822317604007,133.73984580714574
llama-3.2-90b-vision-preview,7,0,5,2,0.0,28.57142857142857,71.42857142857143,730,1,14,24.142857142857142,13.643418088692332,32.42857142857143,9.795528620364546,-8.285714285714286,-5.466510644953327,0.09784735812133072,12.793856788088943,0.9784735812133072,127.93856788088944,128.91704146210273,2.588797760337173,195.52862234484962,194.87771102475455,104.28571428571429,82.90097362860962,24475,33.52739726027397,13.463651021865765,9.974012255988889,6,200,399909,424384,7.707208746794566,61.41390070659898,1.917808219178082,144.84963049747094,144.367428643483
llama-3.3-70b,42,0,38,4,0.0,9.523809523809524,90.47619047619048,2886,2,100,30.904761904761905,11.604897039947474,33.45238095238095,8.121643414591327,-2.5476190476190474,-1.2651372376559515,0.33068783068783064,10.734967736957964,3.3068783068783065,107.34967736957964,110.65655567645794,15.279170855902093,127.19250800874245,129.08410713843,68.71428571428571,69.41332047405201,297205,102.98163548163548,18.696730966787616,5.654537714170008,4,200,2032359,2329564,1.745939462594872,20.992987447031435,4.620949405509358,38.46741094862516,39.03949591031765
llama-3.3-70b-versatile,2,0,2,0,0.0,0.0,100.0,60,0,6,37,2.8284271247461903,39,0.0,-2,-5.0,0.0,11.25,0.0,112.5,112.5,0.0,53.033008588991066,53.033008588991066,30,14.142135623730951,7018,116.96666666666667,49.62121836976597,68.77149999999999,20,40,43372,50390,3.92,19.6,0.0,73.5,73.5
llama3-8b-8192,60,0,60,0,0.0,0.0,100.0,902,104,66,38.2,2.0976176963403033,38.68333333333333,1.0655096125625882,-0.48333333333333334,-1.4169665566917888,20.69415314217946,8.971030395043552,206.94153142179456,89.71030395043553,296.6518353722301,220.41579350652276,93.51949786781852,208.911912501551,15.033333333333333,10.541229251102253,51432,57.019955654102,29.180327541443162,7.383641610185949,4,50,749595,801027,0.5521978615883527,2.6672990154208023,55.77289090280122,23.663697908799087,52.862007385599405
llama3.1-8b,90,0,87,3,0.0,3.3333333333333335,96.66666666666667,2436,44,188,37.2,3.7362481932812965,37.833333333333336,2.545098836958526,-0.6333333333333333,-1.574540892349407,3.5039880174684095,12.664663826670216,35.03988017468409,126.64663826670215,161.68651844138626,55.90853257004452,113.69841732761489,127.44699032643564,27.066666666666666,22.241170448547628,394879,162.1013957307061,416.2431155284701,85.99671862172504,4,100,1995033,2389912,0.8031280792068516,4.595073421102033,11.550822499191137,23.49033638729237,26.330820997178886
meta-llama-3.1-8b-instruct-fp16,30,0,30,0,0.0,0.0,100.0,830,19,61,36.733333333333334,4.093167842699069,37,3.39370614215644,-0.26666666666666666,0.4630161770966371,7.235501567398119,13.547422086215189,72.35501567398119,135.4742208621519,207.8292365361331,158.43621908894582,149.21698718332271,226.540912287387,27.666666666666668,22.71310321094994,59644,71.86024096385542,23.12816882556527,8.276308922639245,4,84,577065,636709,1.7579402088176315,8.127779599992463,56.695672865619535,53.39661309759987,81.06662433363272
